      n,bubblesort,insertionsort,mergesort,quicksort,selectionsort,
100,134500,4500,59300,3900,77600,
200,580800,5600,120900,2900,302900,
300,1240700,41200,52000,1100,1729400,
400,301100,10600,46400,900,248900,
500,454000,14400,51100,800,349300,
600,514500,16300,60500,1100,524600,
700,428200,18000,71300,800,723200,
800,539400,21600,79600,800,935300,
900,658700,24300,89200,900,1137100,
1000,785900,26600,99400,1000,1387000,
1100,928300,29600,113300,800,1812800,
1200,1128000,32700,132300,1100,2176000,
1300,1285500,34300,129600,1000,2355500,
1400,1437900,36900,141700,900,2795800,
1500,2931100,67300,193200,1800,1297900,
1600,3430200,231500,166400,1400,1249500,
1700,3225600,63300,174700,1300,933700,
1800,3221300,59400,156600,1100,908100,
1900,3452100,199900,152300,1000,894900,
2000,3367700,58200,172900,1000,992100,
2100,3726900,61700,174800,1000,1093100,
2200,4237700,65600,181000,1100,1197700,
2300,8938600,68500,196300,1000,1255100,
2400,4475400,63400,186500,1100,1276400,
2500,4782500,64400,205800,1400,1347800,
2600,5332500,68000,211800,1000,1457500,
2700,5493600,68900,190800,800,1608500,
2800,6336600,72600,202800,1100,1724500,
2900,6485700,74100,239100,1100,1810600,
3000,7061300,78300,220200,1000,1937200,
3100,7560800,78800,213400,900,2065000,
3200,7945900,82200,225400,1000,2200500,
3300,8521800,85000,239500,1000,2336700,
3400,9058500,432700,311800,1000,3091200,
3500,10448300,154000,517300,3800,2788300,
3600,11039500,52500,353700,1400,3609100,
3700,10830600,14400,294300,1600,3951700,
3800,11601000,20200,264300,1600,3477500,
3900,12222000,89100,476400,3400,3856400,
4000,13167000,20200,293600,1300,3529300,
4100,14057700,16000,471100,1300,3606100,
4200,14222500,22600,381100,1500,3822700,
4300,15627800,17600,381200,2000,4090600,
4400,16058600,23800,320500,1900,4163600,
4500,16933000,17300,330600,1500,4335900,
4600,19922200,33900,532000,2400,5459900,
4700,18486500,72600,328700,2100,4878500,
4800,20024600,2000,352400,1600,5052700,
4900,19809400,1800,341100,1600,5478200,
5000,21925300,1700,360300,1700,5504500,
5100,22195900,1800,354800,1800,5563800,
5200,23232900,1800,407200,1500,5788100,
5300,24122800,2000,373500,1500,6096000,
5400,25456600,2300,462700,1800,7057700,
5500,26662500,1700,385300,1800,6556800,
5600,26605900,1900,404100,1700,6791200,
5700,27974300,1600,587600,3400,6950400,
5800,29470600,1800,409000,3300,7195200,
5900,30444100,1600,404100,1300,7666100,
6000,32420800,901000,791200,3500,12760000,
6100,40324500,2700,425800,2000,8004900,
6200,35101900,2500,459500,1700,10530200,
6300,35609900,2600,464900,1600,8729000,
6400,37067200,2000,455400,1700,8805500,
6500,39717100,4100,607900,3500,9428200,
6600,38725000,3000,514600,1800,9315400,
6700,39788000,1900,528400,1300,9597600,
6800,40920800,2100,517700,2200,10033300,
6900,43692000,2500,522900,2000,11735700,
7000,46185200,3000,498300,2200,11021400,
7100,50634400,3500,742700,2100,10818000,
7200,46879600,3100,2485900,2100,11168900,
7300,48944400,2200,428900,1700,11431600,
7400,51388700,2700,331800,2100,11753200,
7500,51455300,2600,390000,2200,12029800,
7600,52714700,2200,386200,1600,12384800,
7700,54528600,2200,315500,1800,12707300,
7800,58177800,2800,321600,3100,13189200,
7900,57313600,2200,317300,2400,13443600,
8000,59448500,2200,322600,2100,13929600,
8100,60568600,2200,411600,2400,15020000,
8200,64597900,3200,426200,3200,14431200,
8300,65826400,3100,512600,3400,14703200,
8400,68800500,30500,826600,4000,21009500,
8500,68778100,2600,361800,3500,15539700,
8600,70117700,2500,347400,3000,15917500,
8700,74413600,3800,441200,4300,16284500,
8800,74354000,3500,457400,4000,16875600,
8900,76564400,3900,368100,4100,16951900,
9000,79446300,3500,465200,4200,17595300,
9100,79630400,2600,373200,2800,17766900,
9200,81354900,2900,366900,2600,18106800,
9300,84307300,3600,384800,4300,18772600,
9400,85743000,3800,487300,3900,18916900,
9500,88652000,3800,469600,4300,20266200,
9600,92092400,4600,504000,4300,19890700,
9700,91084800,3500,404300,3700,21613600,
9800,93380300,3800,410600,3900,20552800,
9900,97299000,11300,594900,26900,21707800,
10000,98716800,3800,408300,4000,22839700,
10100,101607500,4300,457000,4800,22030900,
10200,103159400,3900,430400,4100,22591200,
10300,106662400,3900,675000,4300,23130900,
10400,107867700,3100,737100,4000,23212300,
10500,109483100,3700,748400,4200,24047700,
10600,111505000,3400,758600,4100,24229400,
10700,114515500,4000,766000,4600,24844800,
10800,116833500,4800,760900,3700,25334200,
10900,121648000,4100,812600,4400,25458100,
11000,122294000,3600,788500,4200,26212800,
11100,126835900,3400,812500,4600,26527900,
11200,127310600,3900,825000,4300,26796700,
11300,131210600,4100,883700,3800,27561200,
11400,132016700,3400,901200,3700,27962400,
11500,136938900,4300,858900,3900,28312000,
11600,136397100,4200,829100,3700,28789900,
11700,141232400,3800,845100,4300,29382200,
11800,142309500,5100,854200,4100,30228800,
11900,148460900,4900,894300,6500,30809000,
12000,146779300,4300,854900,4300,30827500,
12100,152027600,3600,900800,4200,31353100,
12200,154252300,11800,868700,4600,32594300,
12300,159177000,4100,866000,4600,32461100,
12400,158539400,4500,882800,3700,32968500,
12500,161914700,3900,895500,4400,33570300,
12600,164801800,4500,955200,3400,34008400,
12700,169850400,4200,907600,4200,34595100,
12800,170238100,3900,917900,9000,35251600,
12900,175957400,4000,932000,4200,35610000,
13000,176888200,4200,1043500,3800,36502800,
13100,178535100,4000,925100,4300,37091700,
13200,183903000,3800,1036800,4100,46755500,
13300,186045800,4900,1179900,4200,38797500,
13400,190688700,4800,957300,4400,39859600,
13500,192024200,4400,969100,4100,40195200,
13600,194384900,4600,982000,4100,41050400,
13700,197679100,4200,975000,4100,41232800,
13800,205027100,3900,984500,4100,42783700,
13900,205895700,3900,1015900,4000,43143300,
14000,209037100,4700,1066000,4700,43114100,
14100,211722100,49000,1354000,5100,43521600,
14200,214889800,6000,1231100,4100,44570000,
14300,219366200,4700,1026500,4100,44220600,
14400,222972400,5400,1029400,4500,44639500,
14500,223239100,5400,1028500,4200,45593600,
14600,227889900,5400,2404900,4300,46309000,
14700,232233000,4800,809800,4300,46564000,
14800,237769000,4700,622400,4400,47601600,
14900,239293900,5300,626900,4400,47919900,
15000,244766800,4800,628700,4400,48215600,
15100,246389900,5100,672800,4400,48774400,
15200,252143500,5100,795700,4100,49496300,
15300,265331500,6500,649300,4200,50486700,
15400,258234200,5100,640500,4000,51091500,
15500,260844500,4800,670600,4400,51475400,
15600,266395600,5100,658700,4300,52393800,
15700,268954400,5100,825300,4100,53198700,
15800,276290600,6000,894700,4900,54386800,
15900,277155600,5300,681900,4100,54177000,
16000,281021800,5500,915900,4200,55224900,
16100,283290900,6400,787100,4200,62569300,
16200,287029000,5000,746300,4000,56425300,
16300,289459400,5700,677200,4300,57593900,
16400,298347800,4900,761800,4100,57884000,
16500,298529000,5600,865200,4200,58437700,
16600,305181100,5500,703600,4100,59943000,
16700,307138200,5600,1026200,4000,59870700,
16800,313004300,5700,723300,4500,60403800,
16900,315263700,5500,891500,4600,61176300,
17000,319284900,5600,727500,4100,61815500,
17100,323185000,5300,747500,4300,62823700,
17200,328912700,5500,720100,3800,63544700,
17300,332989600,5700,732300,4200,64016500,
17400,335240400,5200,724900,4400,64905000,
17500,339756200,6700,730100,4300,65626500,
17600,345013800,5600,937000,4100,66868300,
17700,349408700,6000,930300,4200,67546800,
17800,353310200,6200,746700,4100,68146000,
17900,354882200,5200,751800,4300,68804400,
18000,362200800,5400,1024200,8500,69479900,
18100,364723800,6300,758900,4500,70352000,
18200,371848100,6500,759600,4200,71120800,
18300,372626400,5600,763700,4300,72524900,
18400,378321600,6600,975100,4200,73752600,
18500,383880900,5900,771400,4100,73596100,
18600,393764500,5900,982900,4300,74268800,
18700,388734700,5800,781100,4800,75090600,
18800,401667000,6400,803600,4700,75936300,
18900,403840700,12400,998300,4000,76740000,
19000,406801100,6200,797800,4400,77473300,
19100,417051200,5800,814500,4100,78202200,
19200,418229700,6100,806800,4100,79059700,
19300,419570800,9500,2537000,4100,79944700,
19400,425132700,6500,810600,4300,80435200,
19500,430736800,5900,820700,5500,82157800,
19600,434170600,6900,896100,4500,82298000,
19700,440290100,5700,823600,4300,83690300,
19800,441789300,6000,840200,4700,83852100,
19900,447798500,7500,858000,4700,86384500,
20000,454118900,7700,1088200,4400,85724900,
20100,453955200,6900,1188000,4400,87605100,
20200,462939200,6400,1188700,4400,87507500,
20300,467888500,6600,957000,4000,89502300,
20400,474338400,7100,870000,4600,89148000,
20500,480729500,6500,1081600,4300,90145400,
20600,483682500,6700,858500,4200,91099800,
20700,490190300,5900,861900,4200,91896500,
20800,494613500,6300,1095000,4500,93012500,
20900,498855300,6200,895200,4500,94097100,
21000,504058100,7000,901400,4400,94440600,
21100,510428200,6300,891700,4200,95257000,
21200,520061200,7100,886400,4300,97376600,
21300,534578500,6100,900100,4300,97466400,
21400,523331400,6600,890500,4600,98594900,
21500,537318400,6900,895200,4400,99374800,
21600,534175800,6400,901800,4300,100376000,
21700,541972900,6500,903200,4300,101995500,
21800,546384100,7800,1148800,4300,102570200,
21900,548685700,6200,917900,4700,103355400,
22000,551184100,6700,934800,4300,103428800,
22100,558713200,6900,920800,4000,104327400,
22200,563025000,6900,1165500,4400,105578100,
22300,572561100,6500,977000,4500,106728800,
22400,573361000,6900,1174900,4700,107508600,
22500,579575800,7000,1177500,4300,109617700,
22600,586106400,6700,938000,4800,109406800,
22700,592506900,6700,943900,4600,110431500,
22800,597313600,7500,1025800,3800,113502100,
22900,603088700,7100,1204200,4100,113802600,
23000,608958500,6900,2421300,4100,113392400,
23100,613353100,7200,963800,4600,114261400,
23200,619462300,7100,979700,4400,115393200,
23300,622720000,6900,1074800,3900,116128100,
23400,630958400,7100,1376500,4400,117184200,
23500,635448600,7600,1160600,4200,118418600,
23600,643048100,7400,1058000,4400,120445600,
23700,652415600,7400,982600,4000,120200600,
23800,653623500,7500,999800,4400,129176400,
23900,663360700,7500,1006600,4600,122315500,
24000,666658600,7500,1002000,4500,124179800,
24100,671386300,7500,1001700,4100,124175200,
24200,680012900,8000,1007000,4700,126151400,
24300,685426300,6600,1270700,4100,126858500,
24400,688645500,7500,1294600,3900,127695500,
24500,696672600,8200,1026100,3800,130167200,
24600,702823600,7700,1284700,4200,129542900,
24700,712379700,7300,1071500,4300,130971400,
24800,712338900,7400,1308900,4200,138344800,
24900,718233200,7300,1035200,4200,133052300,
25000,723974000,7500,1311200,4200,133545600,
25100,739121500,9000,1328200,4100,134579100,
25200,735054900,7900,1123800,4500,137562700,
25300,746351500,7400,1064000,4200,136777700,
25400,750155500,8400,1065600,4200,138069900,
25500,758022000,8800,1051900,4200,139323900,
25600,765058400,7800,1055800,15000,140361200,
25700,770136200,7200,1161900,32400,141491200,
25800,776503100,7900,1067200,1000,142298600,
25900,779379600,8200,1084400,1000,143922600,
26000,788203300,7400,1079200,800,144665100,
26100,796696600,8200,2678600,600,146098100,
26200,800656900,7900,1312200,800,146837700,
26300,808415800,8600,1537400,800,148419100,
26400,807942400,8700,1446100,800,149445900,
26500,819880300,8400,1096300,800,150654400,
26600,828633100,7600,1095100,800,152132600,
26700,831733800,7800,1113000,700,153187800,
26800,835519400,8400,1106000,900,154476100,
26900,841312100,8300,1114800,900,155932000,
27000,846823600,7800,1121400,900,157772600,
27100,858722900,8000,1429200,1100,157847400,
27200,864241400,8100,1134600,900,159186900,
27300,877705900,7900,1445700,800,160120700,
27400,872375700,8700,1132100,700,160710500,
27500,884597700,8200,1438200,1000,161646600,
27600,894770000,8300,1146900,600,162650600,
27700,901911000,8200,1136000,1000,163954100,
27800,903687700,9100,1154600,900,165625500,
27900,911276100,8000,1158600,900,166273200,
28000,914089600,8200,1154800,1300,168103000,
28100,929067400,8300,1196400,1000,169699400,
28200,929332900,8100,1479300,1000,170264400,
28300,934175600,8300,1173700,1000,172424500,
28400,962009300,9300,1487800,800,181367200,
28500,952101100,8700,1175700,1000,173699400,
28600,954704400,8800,1195400,800,175076900,
28700,968511600,8100,1505500,800,175965000,
28800,973935100,8700,1203800,900,177389900,
28900,980315000,9000,2587600,800,178573800,
29000,987687700,9900,1201800,800,179989400,
29100,988204100,8900,1236400,800,181682900,
29200,1002505900,8800,1206900,900,182399300,
29300,1013092600,8800,1211300,600,184403400,
29400,1021420000,9200,1538100,700,185255200,
29500,1026717600,8700,1477300,900,186051700,
29600,1029334400,9000,1243800,800,187783600,
29700,1039255000,8500,1233300,800,188517900,
29800,1040680300,9200,1304800,1000,190423600,
29900,1048035500,9200,1228800,900,191228800,
30000,1062471500,8900,1603400,700,194651500,
30100,1062811900,9500,1575500,600,193752600,
30200,1074656800,9100,1265800,1000,194843600,
30300,1075302200,9400,1253800,1100,196297000,
30400,1086392400,9400,1252900,800,198107800,
30500,1098426600,9200,1253600,900,199616900,
30600,1097199600,9400,1253800,700,200402200,
30700,1111822600,9300,1259400,800,202401800,
30800,1116815400,9800,1309400,800,202882000,
30900,1128727200,9900,1268000,900,204924100,
31000,1132008800,9300,1289800,1000,205836000,
31100,1139383100,8800,1277800,900,206814300,
31200,1144955600,9200,1282800,900,208667400,
31300,1152957000,10000,1283500,1000,210431400,
31400,1168488800,9500,2739700,700,211029400,
31500,1176057600,9600,1638100,700,214144300,
31600,1187245600,10100,1459400,800,213835700,
31700,1181520800,9400,1659000,800,215441400,
31800,1184874300,13300,2494500,800,216662200,
31900,1202757600,9700,1305900,600,217989100,
32000,1231156600,9600,1311900,800,219759200,
32100,1213576700,10000,1339100,800,220169300,
32200,1224263600,9700,1330600,1000,222019100,
32300,1235649600,9800,1335300,900,223005000,
32400,1235856800,9100,1679700,800,231641000,
32500,1247339500,10200,1691000,900,226538400,
32600,1259385300,9700,1688400,700,227191500,
32700,1269960900,9100,1719700,1000,229349500,
32800,1274612800,10100,1349600,3100,229993800,
32900,1278506100,10200,1369500,1000,231593300,
33000,1290129500,10200,1351900,1000,232735000,
33100,1297992400,10200,1718900,700,234604000,
33200,1298362800,9900,1383500,900,235477300,
33300,1311539400,9700,1387200,1000,237068100,
33400,1320413500,32100,1650100,700,239505000,
33500,1327854000,9900,1404600,900,240478000,
33600,1340128100,10400,1442900,900,242686000,
33700,1350435000,10000,3077900,800,243255200,
33800,1351665700,9800,1410500,900,244970600,
33900,1357798700,10300,1459000,1100,245529300,
34000,1371352800,9700,1401700,1000,247387300,
34100,1378506400,9900,1430800,2700,248839100,
34200,1384388000,11700,1507700,1100,249952700,
34300,1397724200,10500,1438800,700,251392400,
34400,1404620300,9800,1798400,800,252956400,
34500,1407401200,9700,1428300,700,254216600,
34600,1425385400,10400,1430000,900,256426500,
34700,1429624900,9600,1435000,700,259243700,
34800,1420492500,11100,1446700,900,258718900,
34900,1440354700,10400,1816000,900,260241200,
35000,1447982600,11200,1447200,900,262405600,
35100,1456978500,10500,1851500,900,263570800,
35200,1466888900,10200,1457900,900,264985900,
35300,1473904100,10800,1497200,800,266137500,
35400,1489362300,10800,1471200,600,268460200,
35500,1493339900,11300,1513400,1000,270253100,
35600,1505926800,10800,1570300,800,272142600,
35700,1513239000,11000,1749900,800,272788400,
35800,1518304900,11000,1776900,800,274652900,
35900,1530511300,10300,3007300,800,276558100,
36000,1542748200,10800,1879900,700,278293700,
36100,1541526300,11500,1501000,1200,278721900,
36200,1554518100,11200,1895000,600,281128300,
36300,1568030000,10600,1541100,800,281840800,
36400,1577139100,10600,1577000,700,284651300,
36500,1583311500,10800,1589100,900,285544700,
36600,1596572100,11100,1535100,1000,287668000,
36700,1598725000,11300,1520400,700,288147600,
36800,1600743000,12000,1527000,1000,289676000,
36900,1619202600,11700,1534500,700,290852500,
37000,1636121200,11000,1931400,1100,300746200,
37100,1631555700,11100,1697700,800,295058400,
37200,1648732500,11200,1954600,1000,295853300,
37300,1648435400,11300,1569700,700,297201000,
37400,1662572400,11600,1863100,700,299224000,
37500,1666607000,10900,1852400,800,300586200,
37600,1679159900,11800,1870200,900,302954700,
37700,1685744500,17600,1599000,600,304624900,
37800,1697307500,11400,1616700,900,306029300,
37900,1708155200,10900,3140300,900,307496900,
38000,1708757600,11400,1991800,700,308775000,
38100,1734463500,10700,1592500,800,311134900,
38200,1730621200,11900,1600700,800,311801500,
38300,1753109000,11300,1613300,900,314090000,
38400,1762466300,11000,1620000,700,315152300,
38500,1763522100,11600,1655400,800,316527100,
38600,1769780500,11900,1747600,800,319677100,
38700,1779726600,11600,1657800,700,320785100,
38800,1786542200,12200,1656400,700,321879900,
38900,1797721100,11200,1660800,900,324001400,
39000,1820337000,13000,2179600,800,325713000,
39100,1822254200,11400,2317400,800,327681500,
39200,1836196800,11700,1980800,700,328567200,
39300,1847084100,11800,2196000,1000,331122400,
39400,1856149100,11300,2083800,700,332287300,
39500,1851961000,11900,2089600,800,334286500,
39600,1880640900,12100,1689400,900,336105800,
39700,1876184500,11800,2097300,900,337300100,
39800,1880905000,11900,3046300,700,341024400,
39900,1908971700,15700,2362700,900,342236200,
40000,1909078400,11600,1699300,800,343416000,
40100,1923864100,12400,2117500,900,344063600,
40200,1931864400,12000,1691500,900,359483300,
40300,1941717800,12200,2125500,1000,347583500,
40400,1954012400,12400,1699000,900,349690900,
40500,1957693600,104900,2136200,900,352707100,
40600,1972271700,11700,2293900,900,354209600,
40700,1990620400,12400,2146400,800,354218300,
40800,1984833000,11700,2427000,800,356346800,
40900,1995079400,12000,1823400,900,358079700,
41000,1999113900,12000,2219700,800,360216600,
41100,2022177000,12400,1743600,1100,361005800,
41200,2028873900,12200,1732700,900,363573400,
41300,2033927400,12500,1736400,1100,364918900,
41400,2045436700,11500,2197400,800,368332000,
41500,2055727700,12100,1771300,800,369076000,
41600,2077297100,12200,3553800,900,370071400,
41700,2079576600,12500,1806700,1000,373031600,
41800,2086250500,13100,2210500,1300,374796600,
41900,2096694600,13100,1768100,900,375776200,
42000,2118415200,11800,2234800,800,377790600,
42100,2130565400,13500,1968500,1000,378894200,
42200,2122944000,12200,2511400,800,380639600,
42300,2140868800,12300,2119500,700,383090600,
42400,2142174800,12300,1880000,800,384200200,
42500,2168755400,12800,1807100,800,386189500,
42600,2175473900,12700,2262800,1000,395742600,
42700,2187187500,12500,1820900,1100,389940800,
42800,2186044500,16700,1865100,800,392141700,
42900,2198600100,12600,1846800,4700,394618000,
43000,2205551700,17500,1881100,800,464299200,
43100,2224240300,12500,1853900,800,397044300,
43200,2235467200,13000,1910700,1000,401080900,
43300,2234091800,12700,3322800,600,401337300,
43400,2245651500,12600,1874800,700,403366400,
43500,2261104200,13300,1890600,1000,404401900,
43600,2270093100,13600,2220600,700,407609700,
43700,2276732100,12600,2263000,900,407940700,
43800,2291609900,13300,2159300,800,410940600,
43900,2303803800,13200,1992600,800,411896600,
44000,2312316400,12800,1916300,700,414914300,
44100,2323608500,13100,1868500,900,415218400,
44200,2331104700,13100,1889600,800,417741300,
44300,2340762800,12800,1902300,1100,421592500,
44400,2374144800,13800,1904500,900,421265700,
44500,2374823700,13500,1964900,900,423767500,
44600,2377222300,12900,1993300,900,427475700,
44700,2386376300,13600,1926200,800,428456800,
44800,2385319300,12500,1888100,1100,429894500,
44900,2410917800,13100,2379100,700,431206000,
45000,2425697600,13500,3568600,800,433117700,
45100,2445579700,13600,2249300,800,442025000,
45200,2445669900,13500,2129900,4200,438832900,
45300,2461978700,13600,1942400,1200,439318500,
45400,2471834300,13800,2408600,1000,441344300,
45500,2477349800,12700,2418800,1300,444725400,
45600,2502018100,14400,2423000,900,445797800,
45700,2496978500,13700,1961300,800,447036600,
45800,2507118100,14200,2455900,1000,449270100,
45900,2525645800,13600,2434900,900,450785200,
46000,2528636100,13600,1970200,900,452898800,
46100,2543587200,14300,2219000,900,455617800,
46200,2553608400,13400,1957500,1200,457090900,
46300,2561502000,13200,2461900,900,458646600,
46400,2581608500,14000,1974900,1000,460574300,
46500,2590482900,13800,1983900,900,463594900,
46600,2604893600,14300,3722100,800,466431300,
46700,2612245200,13700,2000500,900,468449100,
46800,2621681100,14300,1998100,900,477232400,
46900,2639669000,14800,2260900,1000,472377100,
47000,2643321800,13300,2558300,800,472383900,
47100,2666654000,14400,1999700,800,474560800,
47200,2678591500,13100,2747100,600,476704200,
47300,2676246300,14000,2012100,900,479299500,
47400,2692281500,13700,2021900,700,481310000,
47500,2696371600,13500,2024400,900,483620600,
47600,2718420900,14200,2030700,900,484888800,
47700,2721388200,13400,2030500,900,487536100,
47800,2729894500,20100,2121900,700,488939700,
47900,2763459300,15400,2547700,800,491780400,
48000,2754733300,13700,2553700,1000,493935800,
48100,2782299700,14000,4364800,600,496088800,
48200,2782654200,14000,2596200,700,497748000,
48300,2793638300,14700,2045500,700,501129700,
48400,2812377700,14900,2050700,900,500089000,
48500,2820747300,14500,2061800,900,502573300,
48600,2823561900,14100,2089100,700,505400100,
48700,2845257400,13800,2601300,900,507109300,
48800,2853793100,14400,2066600,800,511538000,
48900,2864217400,14300,2130700,800,521355600,
49000,2881406800,14400,2593600,800,513403500,
49100,2896238300,14700,2075800,900,516171400,
49200,2895994600,14300,2609000,800,532105100,
49300,2911239800,14800,2169600,900,520332300,
49400,2931758100,14400,2746800,800,522570000,
49500,2934553600,14700,2619400,700,523546400,
49600,2947870900,13900,2328100,700,526786800,
49700,2947045100,14500,3045300,700,529941600,
49800,2971818600,14800,2122400,800,530045500,
49900,2994139400,14600,2125400,700,533521800,
50000,2994314300,14000,2150200,900,535039700,
50100,3010318000,14700,2693600,700,536686400,
50200,3024913000,15300,2206000,700,539557700,
50300,3091968300,14600,2181900,600,543449700,
50400,3047588700,14100,2152700,800,543219500,
50500,3058696400,15600,2205100,800,545776600,
50600,3065758800,46300,3041300,900,547949600,
50700,3074432300,14800,3046600,800,550017100,
50800,3101679100,14500,2610200,800,552234900,
50900,3109385400,14900,2783200,800,553962300,
51000,3126222500,14900,2824500,800,556369700,
51100,3128270800,14700,3075500,700,558962700,
51200,3154721900,15300,2427500,700,560616400,
51300,3175894200,14400,2375100,700,562764100,
51400,3174969900,15300,2200400,900,566194200,
