      n,bubblesort,insertionsort,mergesort,quicksort,selectionsort,
51500,3185897100,15000,2209400,900,566697700,
51600,3188121900,14700,2215000,800,571831400,
51700,3231840400,15000,2287300,800,571561700,
51800,3222147500,15100,3490800,700,575995700,
51900,3225247100,15500,2684600,700,576091300,
52000,3253255200,51300,2976700,600,578988400,
52100,3260144000,15600,2272900,900,581068600,
52200,3266840600,14800,2251600,900,583014000,
52300,3288642800,15200,2804800,900,585463500,
52400,3296905200,14900,2357500,1300,587375400,
52500,3294863100,16400,2243100,700,589085800,
52600,3308888600,15400,3225300,800,592124500,
52700,3343755500,15000,2285000,900,594600100,
52800,3350819500,15000,2281400,800,596204900,
52900,3344409600,15900,2255600,900,598291100,
53000,3370229700,15500,2827400,700,601997700,
53100,3390476800,15100,2344200,800,603399000,
53200,3406093800,15800,2265100,800,604903300,
53300,3411261700,15700,2272400,1100,607898900,
53400,3422713200,17600,2372400,800,610606300,
53500,3450596600,15700,2283000,800,611775600,
53600,3438082800,15900,2503300,700,614930400,
53700,3466338100,15700,2314900,900,618072300,
53800,3481621000,16000,2307900,800,619865700,
53900,3505014000,16800,3189200,600,621763900,
54000,3494386300,15400,2896500,700,624269300,
54100,3513637000,16500,2959700,800,640680000,
54200,3533161700,15900,2867000,1100,629070200,
54300,3548955900,15900,2326400,800,631990100,
54400,3575940400,16400,2331400,800,634757700,
54500,3573825000,16300,2369700,900,637315500,
54600,3577228900,15900,2339000,900,637732500,
54700,3587151300,15700,2372900,800,641100800,
54800,3619586500,16600,2561400,700,657124800,
54900,3603602200,16600,2367500,900,651393800,
55000,3635033000,16200,2959000,700,647836000,
55100,3649056900,15700,2368600,800,651335700,
55200,3651967700,16700,2381400,900,653025100,
55300,3688870200,16700,3308800,800,655800600,
55400,3688278800,16400,2378500,800,656202700,
55500,3713525100,15800,2987500,700,659198500,
55600,3710757500,16000,2427400,1000,661957900,
55700,3722211000,16300,3003000,800,663938500,
55800,3744140100,15700,2399200,700,666532900,
55900,3753183800,17100,2403500,900,670886500,
56000,3783640800,16100,3012300,1000,673000900,
56100,3798449300,16500,2428800,1300,672672700,
56200,3809254000,17800,3181800,800,677054600,
56300,3809686400,16800,2488500,800,677462000,
56400,3834086500,16600,2453600,700,695082500,
56500,3843897500,16700,2458600,900,682651600,
56600,3865987200,16700,3889900,700,686402500,
56700,3870818200,53200,2469500,800,688306700,
56800,3882035700,16900,3069700,900,690503200,
56900,3890418000,16700,3091700,900,758552300,
57000,3969930700,16900,2495800,800,694754400,
57100,3916737200,16600,2443800,800,696913100,
57200,3950186500,16600,2442700,900,700745200,
57300,3954026400,16900,3075900,900,703187000,
57400,3971761200,16300,3130000,700,714972800,
57500,3971575300,16800,2502500,800,707312400,
57600,4013249100,18000,2738800,600,708793900,
57700,4000195700,17200,3102900,800,711293900,
57800,4020104100,17600,2619600,800,714587600,
57900,4034256300,17000,3774800,700,717505300,
58000,4043641800,17100,2492700,800,721055600,
58100,4068621000,17000,3123200,800,724176900,
58200,4082090400,17600,2494200,1000,724352900,
58300,4096991300,16800,2500700,900,726913500,
58400,4090300500,17300,2507900,900,729361600,
58500,4110086000,26100,2596800,700,733596100,
58600,4144406500,17500,2545600,1000,750414300,
58700,4236430200,17200,2559700,1100,756789400,
58800,4333161000,17200,3186600,800,741910200,
58900,4172517000,17800,2715000,800,748806800,
59000,4195159600,17300,3237100,900,743890500,
59100,4204275700,16400,3188100,800,753171000,
59200,4226613700,17600,3547500,700,750255500,
59300,4212911900,17800,2597500,700,752019200,
59400,4236250600,17200,2616100,800,755798300,
59500,4245058200,17400,2561300,1000,755971300,
59600,4251622600,17500,2621700,1600,757702000,
59700,4281361400,17300,2639800,800,761559000,
59800,4304033300,18700,2644400,1600,766705400,
59900,4304040500,18100,2585000,700,774979000,
60000,4336910000,17800,3240400,700,769563000,
60100,4329655000,18300,3235500,600,780755300,
60200,4363530200,17000,2580600,800,775191600,
60300,4379490500,18000,3252600,900,778269700,
60400,4377923400,17400,3965200,700,781444600,
60500,4403718300,18700,2671800,3800,782627500,
60600,4405052400,17400,2656700,800,785018300,
60700,4436031700,18200,2671100,800,787195700,
60800,4445177000,18500,3274400,700,789785000,
60900,4454655100,18700,3286800,700,793189300,
61000,4481171800,18800,2622900,800,794930800,
61100,4503551500,19100,2669500,800,797354400,
61200,4508671900,18800,2631700,800,800089900,
61300,4530826500,17800,3295000,700,803544700,
61400,4531056500,18600,2673700,800,805353700,
61500,4551891600,18400,2634900,900,808739100,
61600,4566084500,18400,4010400,700,811035900,
61700,4581214900,18400,2695900,700,812576300,
61800,4602319200,18200,2679000,900,817764600,
61900,4608643100,19100,3338900,700,819804100,
62000,4627392800,20400,2702700,700,822488400,
62100,4652608900,18700,2720600,900,824917300,
62200,4648227900,18300,2673900,800,828195300,
62300,4675700100,18800,2674200,900,830592600,
62400,4679032300,18100,2684800,900,832939000,
62500,4715773400,18300,2753400,800,835181100,
62600,4720246000,19200,2694100,600,838784100,
62700,4721845900,54100,2749800,700,840145400,
62800,4738677300,19800,3757100,700,843451800,
62900,4761517300,19300,2751700,700,845645200,
63000,4780858400,19000,2708700,900,848227000,
63100,4794116100,20000,2722400,800,850724900,
63200,4818646600,18700,2770600,900,853012700,
63300,4827233900,19400,2941600,700,860492700,
63400,4842561700,18300,2732600,900,858021900,
63500,4863563800,19000,2762700,800,860710900,
63600,4877341900,18500,2780600,800,865630400,
63700,4891584500,18400,2736200,900,867876000,
63800,4902635200,18900,2741400,800,871301800,
63900,4926389100,19500,3458500,700,873121900,
64000,4929065900,19400,3738900,800,875932900,
64100,4956577300,19300,2756300,900,877202300,
64200,4956333300,18500,2780200,800,882929800,
64300,4985300300,19800,2771700,700,884211100,
64400,5012219600,19800,2761100,800,885972600,
64500,5006303900,19300,3531800,600,890942200,
64600,5022605600,20000,2773100,800,892757700,
64700,5039243200,19700,2840400,600,894955800,
64800,5045981100,19700,2848800,600,896539600,
64900,5080643500,18900,2851100,800,900013000,
65000,5080375300,18800,2856500,1000,903429500,
65100,5095211600,19600,3960700,700,905470100,
65200,5111573500,19200,2935100,800,909157400,
65300,5133270000,19300,3277400,800,910044700,
65400,5151916100,19200,2898700,800,913070800,
65500,5195853300,19000,2903200,900,915340200,
65600,5175471200,19100,2922000,1200,918860100,
65700,5194845200,19000,3024300,600,921881900,
65800,5216707200,19600,2900800,1200,924571500,
65900,5234177300,20500,2837100,800,927012800,
66000,5237667400,19800,2851900,600,930484900,
66100,5281236000,19800,2854600,900,931654200,
66200,5283318800,20200,3575000,1100,936636600,
66300,5297865500,20000,2902300,700,939896500,
66400,5306615400,19500,2867500,800,941229800,
66500,5320291300,19900,2869100,800,944102800,
66600,5363331000,18700,2927900,800,948608400,
66700,5346446200,20300,3189800,500,963604800,
66800,5367434100,20100,3390800,700,952356500,
66900,5394211000,19800,3633500,700,956729900,
67000,5407203000,19900,2974300,900,958876600,
67100,5417523600,20500,2962600,800,974389700,
67200,5439545000,20200,3661400,600,964862500,
67300,5478799300,19900,3025400,700,982169500,
67400,5475626300,20700,3797900,600,970733600,
67500,5484493900,19900,2945100,900,973202000,
67600,5508234900,20300,2961300,800,975194700,
67700,5512520700,20300,3692300,800,985520200,
67800,5542186600,20100,2956500,800,980752800,
67900,5535444100,19700,2976500,800,983269200,
68000,5573229100,19600,2973200,800,986434500,
68100,5593491300,19500,2966100,800,991314800,
68200,5619499200,20700,2972800,800,991899600,
68300,5631554300,19800,3027400,800,995105900,
68400,5640411000,19900,4020700,700,998076800,
68500,5639047900,20200,3728200,800,1000513200,
68600,5664492700,20600,3774700,700,1005756800,
68700,5687907500,20300,2995400,700,1007214600,
68800,5690436600,19600,3737600,900,1009826200,
68900,5726203200,20700,2991200,800,1013172500,
69000,5731022200,19800,3000600,1100,1015086700,
69100,5758655700,20200,2994600,700,1018732500,
69200,5771212800,20700,3009000,700,1021862700,
69300,5776071700,20200,3014400,700,1025448900,
69400,5810699900,20200,3004900,800,1028415500,
69500,5833926100,20800,4346400,600,1032347800,
69600,5826670300,20500,3004400,800,1032424000,
69700,5833623600,20900,3051700,900,1035642000,
69800,5875523300,20700,3024800,500,1039731600,
69900,5898072400,20500,3098100,700,1041310400,
70000,5896535500,20300,3034400,800,1045454800,
70100,5908911000,20600,3046800,900,1047720700,
70200,5927606100,21300,3046400,800,1051777500,
70300,5936841500,20100,3050100,700,1054286500,
70400,5949368200,20600,3052900,800,1057886800,
70500,6051104300,20800,3128300,900,1072348900,
70600,5992697600,20000,3829400,700,1065093300,
70700,6022567200,21200,3064300,800,1066944700,
70800,6045984400,21000,3112600,700,1076430900,
70900,6067045300,20300,3566800,1000,1071931800,
71000,6062517500,21100,3860600,900,1075989700,
71100,6103621700,21700,3089500,1000,1079544400,
71200,6097058600,20800,3878100,800,1083387400,
71300,6128964700,20500,3884900,800,1085884700,
71400,6156442000,21000,3890300,900,1094403800,
71500,6158359800,20900,3895500,600,1092719700,
71600,6189583900,21300,3833500,700,1101910600,
71700,6172358200,20900,3900400,1000,1096972300,
71800,6216393200,20200,3118700,900,1101359500,
71900,6241013800,20000,3182600,800,1102408000,
72000,6241818500,20200,3129100,700,1106415300,
72100,6279648500,21100,3190400,800,1109210700,
72200,6293207800,21000,3929200,800,1113306100,
72300,6292142900,22000,3144100,700,1115218600,
72400,6323703800,21600,3202600,900,1119449400,
72500,6364252900,21700,3945800,900,1136079900,
72600,6362068000,22000,4327900,600,1131141100,
72700,6366765500,21700,3187500,900,1135593300,
72800,6410803700,20900,3228600,900,1131756300,
72900,6392986700,21300,3960800,800,1135968100,
73000,6439030300,20800,3174200,800,1145445500,
73100,6456755600,21700,3784000,800,1364789100,
73200,6949743800,22300,3185100,700,1143844200,
73300,6487151200,22500,3179600,900,1148364600,
73400,6486261200,20600,3174400,800,1156598400,
73500,6497877800,22200,3234600,1000,1174650200,
73600,6532398600,21000,4275700,700,1162127000,
73700,6542521700,21500,3186600,900,1165526900,
73800,6562423000,21000,3245800,800,1161422700,
73900,6582277600,21400,3205200,1000,1176825800,
74000,6620138800,21800,3227400,800,1175132800,
74100,6617335000,22100,4087500,600,1172977000,
74200,6637049600,21600,3217800,800,1181373500,
74300,6645874800,21800,3341100,900,1184071800,
74400,6647474800,21700,3229400,800,1181088100,
74500,6696197500,21600,4044500,800,1186652500,
74600,6700782000,22700,4315600,600,1190047500,
74700,6740088200,21700,4077000,700,1192116400,
74800,6749923200,22500,3268500,1000,1199953700,
74900,6754022400,21300,4088100,800,1198214800,
75000,6780121100,21600,3282200,800,1208585700,
75100,6785473400,21300,3285400,700,1203813900,
75200,6828650900,23300,3308000,800,1212563300,
75300,6816781500,21600,3299000,800,1216040700,
75400,6865430300,22200,4155100,800,1215240800,
75500,6874478100,23100,4989800,600,1215538100,
75600,6868008500,22900,3562800,700,1219460700,
75700,6901221500,22600,4133800,700,1224026600,
75800,6895768300,22700,4151400,900,1227101900,
75900,6956117000,22400,3384000,700,1230228200,
76000,6971440800,22400,3322600,800,1238005900,
76100,6976361700,23100,3341100,800,1237441500,
76200,7008428500,22800,3993800,800,1240408300,
76300,7033355400,21900,4163300,800,1241896700,
76400,7022065400,22500,4168200,800,1251144800,
76500,7043142000,22800,4554000,800,1249127300,
76600,7072412300,22900,3371400,700,1251605900,
76700,7093072100,23100,3343500,700,1254189300,
76800,7101024100,22200,3344300,900,1277889500,
76900,7108769700,23400,3394000,600,1261732000,
77000,7149637900,34900,4189300,800,1270156600,
77100,7162421200,22200,3983900,800,1267004700,
77200,7189780800,27400,3459200,500,1270442100,
77300,7207313700,23100,5561400,900,1280130300,
77400,7248101800,23100,4635100,700,1279035200,
77500,7216616400,24200,3592300,800,1280781300,
77600,7245522400,23300,3538100,700,1284416500,
77700,7302163300,23700,3541500,800,1287914900,
77800,7293164300,23100,3506100,800,1292313700,
77900,7331974900,22800,3508100,700,1293283100,
78000,7315639400,24100,3515400,600,1298127900,
78100,7373596100,22800,3525900,700,1302470500,
78200,7374995800,23300,3402500,800,1304000000,
78300,7405727900,22800,4265700,700,1309192300,
78400,7394845200,22900,3421100,800,1311475400,
78500,7459319200,22700,3418600,800,1315918000,
78600,7453087100,23600,3438200,600,1317593200,
78700,7465804000,23400,4298200,600,1321228700,
78800,7490172800,23300,3425800,1100,1324271000,
78900,7482477200,22600,3438600,800,1329276400,
79000,7527817000,24400,3509800,1000,1330718200,
79100,7554454000,23000,3573400,800,1342556400,
79200,7553871600,22800,3525400,800,1338746300,
79300,7568020300,23200,4418900,600,1340494200,
79400,7604858400,22700,3486600,900,1344858200,
79500,7623895100,23600,3488600,900,1348838300,
79600,7656948400,23300,3496900,800,1353387400,
79700,7663709100,23200,4396700,800,1357205800,
79800,7683055300,22800,4024100,600,1360724900,
79900,7720005400,23700,3501200,1000,1362566900,
80000,7734141400,22900,3506700,800,1366618000,
80100,7739014300,24000,3511400,900,1369373500,
80200,7760786200,23500,4651700,600,1374302300,
80300,7788397200,24100,3521100,700,1375496100,
80400,7810392300,23600,3521000,900,1380108900,
80500,7810429500,23500,3523000,900,1382300500,
80600,7833069000,23600,3523400,900,1388478400,
80700,7843211200,24500,3706600,600,1389680400,
80800,7865611200,23700,3522100,900,1392566900,
80900,7920770100,23400,3530300,700,1396046400,
81000,7916450400,23700,4313100,900,1400971600,
81100,7957074900,23800,4530300,700,1403525000,
81200,7942824300,24400,3534300,800,1408922900,
81300,7966785200,24000,3539900,900,1409188000,
81400,7982811600,23700,3544400,900,1413973600,
81500,8022755300,24700,3551000,900,1416309500,
81600,8022254800,23800,3561000,800,1419638200,
81700,8051588100,24700,3690200,800,1423145000,
81800,8043906700,24300,3552800,1000,1425863900,
81900,8102198300,23800,4421600,800,1431058000,
82000,8082821500,23900,3576000,800,1432571400,
82100,8151522600,24300,4578400,700,1435979300,
82200,8146918000,24500,3584200,900,1439567600,
82300,8150016000,24400,3584400,1000,1443684200,
82400,8191155500,24500,3599600,900,1448017500,
82500,8212701500,24300,4519400,700,1450698100,
82600,8231175000,23600,4507100,800,1455973800,
82700,8240771500,23900,4513500,800,1460798100,
82800,8268978500,23900,4648400,800,1463479400,
82900,8294957900,24000,3616400,900,1466089100,
83000,8308586500,24500,3626000,800,1470801300,
83100,8345447000,24100,3689600,800,1473727200,
83200,8328729500,23500,3647600,700,1477578800,
83300,8366154000,24400,3716400,700,1480852900,
83400,8415684400,24800,3660500,800,1482500700,
83500,8407660300,84600,3688700,900,1486024500,
83600,8405666300,24600,3671500,700,1492311700,
83700,8464872700,24800,4655100,800,1496292600,
83800,8453898700,24600,3677900,800,1497242400,
83900,8473411700,24100,3683200,800,1504202800,
84000,8492134500,25300,4606100,700,1505953300,
84100,8552980800,25100,3688800,900,1511346600,
84200,8557729300,24100,4594900,1000,1512477800,
84300,8579164400,24300,3716500,900,1516707800,
84400,8577548600,24600,3697800,900,1519578900,
84500,8663084500,25400,4500900,700,1524930100,
84600,8623844700,23800,3702000,800,1525261600,
84700,8668600200,25500,4622700,800,1530514800,
84800,8674152000,24700,4621700,600,1535484700,
84900,8675924100,24500,4630700,900,1544822400,
85000,8728800400,25400,3705100,900,1586438500,
85100,8770340100,24200,3718900,900,1547584800,
85200,8752062200,24700,3711500,1000,1547426000,
85300,8773616800,25900,4742100,700,1558820600,
85400,8796189400,24700,4803200,700,1557436500,
85500,8804591900,24400,4728100,600,1562440900,
85600,8847955800,25200,3729300,900,1563765700,
85700,8850233600,26400,4653700,800,1567240600,
85800,8893636900,26000,3756600,800,1573238700,
85900,8906597300,24800,3729400,800,1574076400,
86000,8883671600,25100,4716100,800,1579094100,
86100,8956162700,26100,3745700,700,1580930700,
86200,8972337900,26100,4795000,800,1593158300,
86300,9015175500,25000,4695000,600,1590863300,
86400,9007845100,25400,3760000,900,1591587800,
86500,9001568200,26000,3775600,800,1596821700,
86600,9020617600,25600,3772400,700,1599755500,
86700,9104355500,30900,3934000,800,1602735600,
86800,9100951900,25700,4000900,700,1606885600,
86900,9085501600,25400,4097500,700,1610481100,
87000,9127458200,25600,5008800,600,1618197500,
87100,9145687700,24700,3984600,600,1617986500,
87200,9152566700,25700,3986800,800,1622987400,
87300,9230362700,24900,3976900,800,1626528900,
87400,9245235100,24900,3986800,800,1630439400,
87500,9252676600,25500,3857600,800,1632654800,
87600,9255970700,26100,3861900,800,1637178600,
87700,9270385200,25200,3853800,900,1639881300,
87800,9282814400,25500,4651900,700,1644534100,
87900,9329409100,25100,4974900,700,1648096300,
88000,9353272500,26500,4802100,800,1688022700,
88100,9381278300,27100,4855500,700,1660179900,
88200,9374376000,25500,3908400,900,1658942700,
88300,9395933900,26800,3986100,700,1661534200,
88400,9444155700,25900,4141300,700,1668846300,
88500,9446911500,26600,3866700,800,1669639800,
88600,9476997600,25400,3879600,900,1691005800,
88700,9491690000,25500,5147900,700,1679671500,
88800,9506618400,26500,4840300,800,1681454900,
88900,9524192800,26900,3883600,700,1685056300,
89000,9551706200,25800,4844900,900,1690738200,
89100,9570638900,26100,3885400,800,1693536800,
89200,9571220100,27000,3895800,800,1695585900,
89300,9624831300,26500,3902400,800,1699653400,
89400,9627557000,26400,3898900,1000,1703871800,
89500,9650322700,25500,4860700,800,1707147400,
89600,9659010300,27200,3903500,800,1728176000,
89700,9696452800,26700,3902900,900,1715740300,
89800,9719068100,26300,3906000,900,1720632800,
89900,9734249300,26500,4256000,500,1723205900,
90000,9770571700,27100,4401000,800,1742883800,
90100,9790109800,26500,4896600,800,1731696700,
90200,9828968100,25800,3913600,700,1735303400,
90300,9821162000,26100,4883400,800,1740143700,
90400,9866802900,25700,3922700,800,1745109600,
90500,9872766300,27400,4002100,900,1755342500,
90600,9896728200,26700,4933600,700,1751409400,
90700,9900317800,27700,3958100,700,1753742600,
90800,9939314400,27300,3966900,900,1757876900,
90900,9964863900,25900,3965400,800,1761561100,
91000,10005131800,26600,4944700,600,1767498800,
91100,10004303100,25700,4721500,1000,1769977700,
91200,10041719900,26800,4850800,700,1776015100,
91300,10058045100,26800,3994600,900,1778487600,
91400,10069405000,26100,3992900,900,1781249800,
91500,10085812000,27100,4015800,900,1782637400,
91600,10126708300,25900,4143800,700,1791025300,
91700,10130928900,27100,4039000,700,1794086600,
91800,10158100400,26700,5045900,700,1801341900,
91900,10194797600,27400,5037100,800,1800155800,
92000,10243542000,27300,4040600,800,1805187200,
92100,10219426100,26500,4048300,900,1811665800,
92200,10270448300,27900,4049100,900,1813805700,
92300,10313199600,27100,5067800,700,1817338600,
92400,10312413800,28000,4040700,700,1821254100,
92500,10331602600,26900,4047500,700,1832464700,
92600,10384066400,27900,5329700,700,1831115000,
92700,10364910500,26600,4060300,1100,1833429000,
92800,10401249500,27600,4056100,900,1835920300,
92900,10419700900,27400,5071300,700,1843250000,
93000,10425367200,28300,5334500,700,1843829300,
93100,10438228600,26900,4056200,1000,1848478200,
93200,10465345000,27900,4081900,800,1852973400,
93300,10513994200,27300,5032200,600,1856647300,
93400,10526530100,26500,4073900,900,1861134100,
93500,10546218800,28500,4093200,800,1863691500,
93600,10547535300,27400,4087400,700,1866657300,
93700,10599238000,27500,4075200,900,1870793100,
93800,10597744800,28000,4099500,800,1875512000,
93900,10622677000,27800,4137900,700,1879515800,
94000,10632738500,28100,4174900,700,1883035100,
94100,10668692400,26900,5015200,600,1896251700,
94200,10703382200,27300,5117700,900,1893470700,
94300,10729203200,26700,4097600,900,1895793100,
94400,10766487100,32900,4282700,900,1898160700,
94500,10743299400,35500,4479600,800,1902074900,
94600,10797625100,28000,4300500,800,1914527700,
94700,10820072800,28800,4404900,800,1912027800,
94800,10853334700,29100,5555200,600,1930695900,
94900,10854130400,27400,4554900,600,1923534300,
95000,10925844200,28300,4448300,800,1924456200,
95100,10905789800,27300,4307900,600,1928394300,
95200,10940789700,28400,4157300,900,1932328400,
95300,10963778300,28000,4181800,900,1936123900,
95400,11006868400,27700,5276100,700,1942225100,
95500,10999325300,28700,5219800,700,1946624600,
95600,11002147700,28300,5635500,1200,1951483500,
95700,11072488200,28200,4190000,800,1953171600,
95800,11069533200,28000,4195900,800,1956990200,
95900,11133791300,28600,5254300,700,1959969600,
96000,11123406200,28000,4287100,800,1967370400,
96100,11180674600,28900,4226500,700,1969387900,
96200,11142970200,30900,4233000,900,1985693200,
96300,11191491900,28600,5366200,700,1985851500,
96400,11208788400,27300,4266100,600,1980743500,
96500,11184513500,27300,5282900,700,1988213100,
96600,11262037000,28700,4244800,800,1990521800,
96700,11228255700,28700,4247600,900,1995021700,
96800,11271142700,28100,4238200,700,1999250900,
96900,11325115300,29400,4244100,700,2004573800,
97000,11399926700,28900,5288600,800,2008359600,
97100,11438173700,29200,4303700,700,2011738400,
97200,11587154600,28600,4428200,700,2017201200,
97300,11512604800,29100,4343900,800,2020620200,
97400,11418893200,28000,5372000,800,2023824900,
97500,11505062000,28100,5337400,800,2036774400,
97600,11530533300,49900,4428100,700,2030355200,
97700,11490955900,29100,4261000,800,2036710700,
97800,11563553900,28500,5306900,900,2042761000,
97900,11585127100,28500,5261700,800,2045319300,
98000,11617317700,28500,5341300,800,2048452600,
98100,11656960800,29300,5244600,700,2055500000,
98200,11642293700,29400,5093600,800,2058346800,
98300,11684242700,28700,4272300,900,2063428100,
98400,11692625500,28600,4285300,900,2065280600,
98500,11658775400,28200,5556300,700,2072728600,
98600,11744770200,28600,4296200,800,2075005300,
98700,11800931400,29200,4332300,700,2077557000,
98800,11787670800,29700,5311100,700,2085911900,
98900,11804546400,30300,5398200,800,2085742000,
99000,11801155900,28900,4335700,900,2106036000,
99100,11874597200,29800,4343500,700,2095313900,
99200,11917171000,29800,5382900,700,2100833400,
99300,11911190200,30300,4361300,800,2101026700,
99400,11927861900,30100,4348600,800,2112896500,
99500,11947483800,28900,4415800,800,2112605100,
99600,11972462200,29800,4453100,600,2115446200,
99700,12005896500,29400,4415700,800,2121127900,
99800,12002036900,29100,4447100,800,2124536800,
99900,12034941400,29200,6135700,800,2129838900,
100000,12080076900,28900,4398900,1100,2134427700,
